"","GM12878_A_t0unstim","GM12878_A_t180unstim","GM12878_A_t180","GM12878_B_t0unstim","GM12878_B_t180unstim","GM12878_B_t180"
"ENSG00000000003",1,0,0,0,0,1
"ENSG00000000419",534,529,570,359,549,595
"ENSG00000000457",311,254,260,153,247,259
"ENSG00000000460",272,238,220,208,246,264
"ENSG00000000938",936,441,419,627,491,471
"ENSG00000000971",0,0,0,0,1,1
"ENSG00000001036",343,186,183,213,214,252
"ENSG00000001084",276,261,276,204,288,300
"ENSG00000001167",423,443,445,347,465,494
"ENSG00000001460",15,6,16,18,12,16
"ENSG00000001461",144,67,72,109,94,112
"ENSG00000001497",934,580,664,638,644,769
"ENSG00000001561",351,343,445,217,353,527
"ENSG00000001617",4,2,0,2,1,0
"ENSG00000001626",3,3,2,1,0,3
"ENSG00000001629",890,522,668,582,662,734
"ENSG00000001630",32,7,11,38,11,23
"ENSG00000001631",354,393,420,296,476,490
"ENSG00000002016",46,29,42,26,46,60
"ENSG00000002079",0,1,0,0,0,2
"ENSG00000002330",114,31,50,119,32,43
"ENSG00000002549",2643,1875,3329,1892,2055,3591
"ENSG00000002586",811,533,532,578,516,570
"ENSG00000002587",10,11,19,6,15,8
"ENSG00000002726",0,0,0,0,0,0
"ENSG00000002745",0,0,1,0,1,0
"ENSG00000002746",2,4,3,1,4,4
"ENSG00000002822",420,189,231,335,275,261
"ENSG00000002834",1400,816,915,1013,856,980
"ENSG00000002919",570,563,735,477,665,757
"ENSG00000002933",0,0,0,0,1,0
"ENSG00000003056",1372,1121,1081,941,1018,1177
"ENSG00000003096",269,146,139,164,179,160
"ENSG00000003137",0,0,2,0,0,0
"ENSG00000003147",52,30,25,31,21,29
"ENSG00000003249",8,1,3,4,2,3
"ENSG00000003393",249,203,205,173,222,236
"ENSG00000003400",155,72,147,92,59,125
"ENSG00000003402",2137,1509,2433,1408,1676,2757
"ENSG00000003436",11,12,23,14,22,34
"ENSG00000003509",232,157,169,145,175,174
"ENSG00000003756",1342,977,1055,865,985,1113
"ENSG00000003987",0,3,0,0,0,2
"ENSG00000003989",1,3,2,2,6,7
"ENSG00000004059",311,157,176,239,204,231
"ENSG00000004139",42,24,26,46,35,32
"ENSG00000004142",1148,843,975,840,824,1039
"ENSG00000004399",0,0,1,0,2,0
"ENSG00000004455",2213,1446,1617,1579,1526,1848
"ENSG00000004468",322,89,126,212,86,110
"ENSG00000004478",1269,1187,1372,865,1283,1602
"ENSG00000004487",1396,1052,1039,981,1029,1116
"ENSG00000004534",1487,993,1042,1019,1102,1138
"ENSG00000004660",14,8,14,15,10,10
"ENSG00000004700",1393,1107,1337,997,1230,1480
"ENSG00000004766",292,243,230,176,215,290
"ENSG00000004776",1,0,0,0,0,0
"ENSG00000004777",68,38,34,60,35,31
"ENSG00000004779",440,312,343,342,318,444
"ENSG00000004799",0,1,0,0,0,0
"ENSG00000004809",0,0,0,0,0,0
"ENSG00000004838",1,5,8,2,4,4
"ENSG00000004846",1,0,0,0,1,1
"ENSG00000004848",0,0,0,0,0,0
"ENSG00000004864",277,214,253,163,253,239
"ENSG00000004866",453,432,351,345,426,430
"ENSG00000004897",1571,1352,1518,1120,1489,1736
"ENSG00000004939",0,2,0,0,0,0
"ENSG00000004948",0,0,0,0,0,0
"ENSG00000004961",293,283,295,219,291,325
"ENSG00000004975",250,146,153,223,176,208
"ENSG00000005001",1,0,0,0,0,0
"ENSG00000005007",1319,761,938,1004,864,1061
"ENSG00000005020",477,394,426,345,438,471
"ENSG00000005022",2595,1780,2032,1906,1891,2409
"ENSG00000005059",415,298,353,273,335,391
"ENSG00000005073",0,0,0,0,0,1
"ENSG00000005075",183,108,123,136,113,125
"ENSG00000005100",400,383,343,333,415,370
"ENSG00000005102",264,217,170,165,223,166
"ENSG00000005108",1,0,1,0,3,3
"ENSG00000005156",439,278,327,333,294,284
"ENSG00000005175",443,322,345,290,381,422
"ENSG00000005187",18,11,14,11,21,14
"ENSG00000005189",79,79,90,63,65,82
"ENSG00000005194",314,290,359,241,345,400
"ENSG00000005206",161,52,66,142,61,50
"ENSG00000005238",100,45,53,55,50,76
"ENSG00000005243",2,1,1,1,1,2
"ENSG00000005249",3,1,5,1,4,3
"ENSG00000005302",382,287,308,250,309,314
"ENSG00000005339",699,395,396,550,417,479
"ENSG00000005379",362,59,80,220,63,79
"ENSG00000005381",0,0,1,0,0,0
"ENSG00000005421",0,0,0,0,0,1
"ENSG00000005436",357,233,248,203,277,316
"ENSG00000005448",326,124,178,231,174,190
"ENSG00000005469",161,135,112,90,151,206
"ENSG00000005471",104,40,45,50,54,44
"ENSG00000005483",483,415,433,338,412,438
"ENSG00000005486",156,77,68,101,86,94
"ENSG00000005513",1,0,0,0,0,0
"ENSG00000005700",1070,687,897,737,828,948
"ENSG00000005801",435,339,340,283,359,365
"ENSG00000005810",4176,2673,2925,3070,2929,3028
"ENSG00000005812",539,460,513,340,477,577
"ENSG00000005844",775,349,364,557,452,384
"ENSG00000005882",128,63,76,112,71,92
"ENSG00000005884",93,47,68,65,46,71
"ENSG00000005889",965,834,970,687,877,926
"ENSG00000005893",766,723,913,506,739,1027
"ENSG00000005955",881,638,796,586,646,772
"ENSG00000005961",4,1,1,0,0,1
"ENSG00000005981",0,1,1,0,1,1
"ENSG00000006007",460,365,389,326,354,435
"ENSG00000006015",43,16,26,36,16,39
"ENSG00000006016",0,0,0,0,0,0
"ENSG00000006025",189,75,72,124,91,85
"ENSG00000006042",2,2,8,3,1,4
"ENSG00000006047",1,0,0,0,0,0
"ENSG00000006059",0,0,0,0,0,1
"ENSG00000006062",588,334,431,420,349,443
"ENSG00000006071",0,1,0,0,0,1
"ENSG00000006074",0,0,0,0,0,0
"ENSG00000006075",659,313,718,527,348,775
"ENSG00000006114",566,423,422,433,470,493
"ENSG00000006116",0,0,1,0,0,1
"ENSG00000006118",19,2,8,17,7,5
"ENSG00000006125",1013,838,939,798,954,1055
"ENSG00000006128",0,1,0,0,0,0
"ENSG00000006194",537,357,440,358,399,479
"ENSG00000006210",13,10,8,17,8,23
"ENSG00000006282",456,192,275,388,248,269
"ENSG00000006283",1,0,2,1,1,3
"ENSG00000006327",6,5,5,1,2,5
"ENSG00000006432",174,125,159,143,130,145
"ENSG00000006451",339,382,466,265,362,524
"ENSG00000006453",585,273,309,402,318,331
"ENSG00000006459",77,55,90,67,66,65
"ENSG00000006468",1,1,1,1,3,1
"ENSG00000006530",685,557,613,470,613,706
"ENSG00000006534",0,0,0,1,0,1
"ENSG00000006555",2,7,14,5,8,5
"ENSG00000006576",704,657,873,449,732,1046
"ENSG00000006606",0,0,0,0,0,0
"ENSG00000006607",836,674,733,637,741,769
"ENSG00000006611",0,0,1,0,0,1
"ENSG00000006625",372,286,359,254,270,361
"ENSG00000006634",809,730,688,537,750,806
"ENSG00000006638",0,0,0,0,0,0
"ENSG00000006652",248,185,226,187,224,248
"ENSG00000006659",86,17,26,60,31,41
"ENSG00000006695",289,184,203,190,211,231
"ENSG00000006704",26,9,15,10,18,19
"ENSG00000006712",581,376,435,411,385,475
"ENSG00000006715",842,539,620,628,629,669
"ENSG00000006740",176,74,90,104,96,96
"ENSG00000006744",1461,1026,1310,1111,1152,1491
"ENSG00000006747",2,7,3,2,8,5
"ENSG00000006756",0,1,3,0,1,1
"ENSG00000006757",132,85,94,88,96,112
"ENSG00000006788",0,0,3,0,0,1
"ENSG00000006831",890,715,773,671,830,870
"ENSG00000006837",11,3,3,4,5,5
"ENSG00000007001",0,0,0,0,0,1
"ENSG00000007038",0,0,2,4,2,0
"ENSG00000007047",138,66,101,146,85,100
"ENSG00000007062",0,0,1,0,0,0
"ENSG00000007080",208,80,90,218,110,117
"ENSG00000007129",75,19,27,50,44,25
"ENSG00000007168",1350,1162,1374,878,1347,1457
"ENSG00000007171",0,2,2,0,0,2
"ENSG00000007174",7,16,14,6,23,20
"ENSG00000007202",4260,2892,3292,3262,3043,3262
"ENSG00000007216",0,2,1,0,0,0
"ENSG00000007237",448,597,691,324,620,708
"ENSG00000007255",89,29,44,62,43,40
"ENSG00000007264",2,0,0,0,0,0
"ENSG00000007306",0,0,0,0,0,0
"ENSG00000007312",614,291,328,483,360,366
"ENSG00000007314",1,4,0,2,5,2
"ENSG00000007341",91,46,42,61,58,41
"ENSG00000007350",0,0,0,0,0,0
"ENSG00000007372",1,3,6,0,11,3
"ENSG00000007376",186,55,91,206,98,94
"ENSG00000007384",2,2,0,1,2,6
"ENSG00000007392",354,285,311,232,341,357
"ENSG00000007402",1,0,2,0,0,0
"ENSG00000007516",8,1,0,2,1,0
"ENSG00000007520",213,101,115,173,134,135
"ENSG00000007541",98,27,49,91,41,48
"ENSG00000007545",73,37,37,51,39,21
"ENSG00000007866",1,0,0,1,0,0
"ENSG00000007908",0,0,0,0,1,0
"ENSG00000007923",800,499,597,505,558,673
"ENSG00000007933",0,0,0,0,0,0
"ENSG00000007944",298,169,139,228,179,119
"ENSG00000007952",0,0,0,0,0,0
"ENSG00000007968",521,329,380,407,357,357
"ENSG00000008018",1179,922,1039,791,1003,1178
"ENSG00000008056",1,5,3,2,3,8
"ENSG00000008083",810,525,479,564,529,490
"ENSG00000008086",30,29,27,20,40,40
"ENSG00000008118",0,3,4,3,3,11
"ENSG00000008128",20,2,12,12,18,8
"ENSG00000008130",455,232,343,386,301,347
"ENSG00000008196",0,0,1,0,0,1
"ENSG00000008197",1,0,0,0,0,0
"ENSG00000008226",0,2,0,2,0,0
"ENSG00000008256",575,516,441,412,556,459
"ENSG00000008277",322,176,148,207,182,164
"ENSG00000008282",589,409,325,410,446,401
"ENSG00000008283",82,78,96,53,63,96
"ENSG00000008294",913,759,890,594,840,957
"ENSG00000008300",24,13,14,21,15,15
"ENSG00000008311",150,99,104,100,95,117
"ENSG00000008323",57,22,38,43,34,33
"ENSG00000008324",208,119,157,140,153,185
"ENSG00000008382",96,34,55,78,52,66
"ENSG00000008394",1,14,10,5,32,30
"ENSG00000008405",113,93,67,69,93,90
"ENSG00000008441",3,0,0,0,1,0
"ENSG00000008513",196,63,70,117,90,60
"ENSG00000008516",8,3,3,6,2,6
"ENSG00000008517",426,217,346,303,253,379
"ENSG00000008710",311,84,147,257,115,117
"ENSG00000008735",0,0,0,1,1,1
"ENSG00000008838",727,403,497,597,538,535
"ENSG00000008853",446,172,165,298,220,171
"ENSG00000008869",626,431,559,409,551,606
"ENSG00000008952",1429,1145,1174,1061,1329,1354
"ENSG00000008988",5832,4090,4538,4009,4344,5421
"ENSG00000009307",7976,6158,6656,5416,6283,7523
"ENSG00000009335",1154,937,1095,780,1103,1209
"ENSG00000009413",774,728,774,540,825,833
"ENSG00000009694",0,1,1,0,1,2
"ENSG00000009709",0,0,0,0,0,1
"ENSG00000009724",1,1,0,0,0,0
"ENSG00000009765",0,2,1,0,3,4
"ENSG00000009780",101,78,119,69,92,122
"ENSG00000009790",770,490,418,530,563,507
"ENSG00000009830",92,68,85,54,76,81
"ENSG00000009844",743,656,681,556,713,764
"ENSG00000009950",0,0,0,0,0,0
"ENSG00000009954",2298,2008,2178,1557,2269,2424
"ENSG00000010017",664,517,566,460,525,603
"ENSG00000010030",59,11,133,52,22,124
"ENSG00000010072",166,151,144,133,157,205
"ENSG00000010165",413,261,279,336,324,321
"ENSG00000010219",141,107,113,106,110,109
"ENSG00000010244",3073,2598,2877,2138,2742,3025
"ENSG00000010256",1342,668,930,990,848,983
"ENSG00000010270",819,593,617,577,675,724
"ENSG00000010278",6,18,10,9,17,20
"ENSG00000010282",0,0,0,0,0,0
"ENSG00000010292",2741,1748,1789,1960,1900,1891
"ENSG00000010295",109,31,45,68,66,60
"ENSG00000010310",145,77,71,108,79,58
"ENSG00000010318",37,12,24,30,15,26
"ENSG00000010319",0,1,1,0,0,1
"ENSG00000010322",726,326,410,573,387,354
"ENSG00000010327",0,2,0,1,0,0
"ENSG00000010361",51,21,12,42,31,24
"ENSG00000010379",2,3,1,1,3,3
"ENSG00000010404",424,349,341,310,418,415
"ENSG00000010438",0,0,0,0,0,0
"ENSG00000010539",170,145,153,95,163,177
"ENSG00000010610",0,0,4,1,0,5
"ENSG00000010626",22,20,15,22,23,19
"ENSG00000010671",1629,1147,1180,1082,1239,1302
"ENSG00000010704",18,19,28,15,14,18
"ENSG00000010803",285,200,196,168,185,215
"ENSG00000010810",1405,1022,1026,1015,1214,1001
"ENSG00000010818",741,620,741,547,611,793
"ENSG00000010932",0,0,0,0,0,0
"ENSG00000011007",1101,854,845,775,919,970
"ENSG00000011009",319,138,176,260,189,210
"ENSG00000011021",208,97,120,160,129,109
"ENSG00000011028",12,16,6,17,3,8
"ENSG00000011083",1,1,1,2,1,1
"ENSG00000011105",1,3,4,4,4,6
"ENSG00000011114",427,407,404,326,427,421
"ENSG00000011132",108,28,67,85,46,62
"ENSG00000011143",105,45,62,77,71,58
"ENSG00000011198",111,85,146,66,86,172
"ENSG00000011201",0,0,0,0,3,1
"ENSG00000011243",511,334,384,347,314,380
"ENSG00000011258",166,151,119,137,166,118
"ENSG00000011260",543,425,465,384,438,498
"ENSG00000011275",856,576,636,576,576,687
"ENSG00000011295",289,310,335,165,335,373
"ENSG00000011304",3035,1937,2307,2552,2199,2515
"ENSG00000011332",10,4,4,8,5,8
"ENSG00000011347",0,0,0,0,0,0
"ENSG00000011376",618,421,506,463,516,540
"ENSG00000011405",595,395,469,367,474,514
"ENSG00000011422",175,75,182,113,118,196
"ENSG00000011426",633,605,606,420,593,682
"ENSG00000011451",150,67,121,124,80,89
"ENSG00000011454",515,392,406,380,453,469
"ENSG00000011465",0,2,0,0,1,0
"ENSG00000011478",128,79,67,112,62,53
"ENSG00000011485",845,519,570,653,556,679
"ENSG00000011523",144,96,125,101,128,121
"ENSG00000011566",129,129,138,75,122,170
"ENSG00000011590",159,89,172,141,161,211
"ENSG00000011600",0,1,2,1,1,0
"ENSG00000011638",82,91,85,81,95,106
"ENSG00000011677",1,0,0,0,0,0
"ENSG00000012048",783,522,581,571,582,627
"ENSG00000012061",504,244,308,334,277,325
"ENSG00000012124",1731,636,718,1224,766,811
"ENSG00000012171",2,1,0,1,0,1
"ENSG00000012174",45,43,31,29,48,32
"ENSG00000012211",71,29,33,56,34,39
"ENSG00000012223",0,0,0,0,0,1
"ENSG00000012232",213,156,191,190,206,205
"ENSG00000012504",0,0,0,0,2,0
"ENSG00000012660",1375,1192,1277,973,1196,1605
"ENSG00000012779",513,313,325,391,327,415
"ENSG00000012817",0,0,0,0,0,1
"ENSG00000012822",165,63,92,102,87,81
"ENSG00000012963",834,547,618,559,641,709
"ENSG00000012983",429,340,364,297,378,416
"ENSG00000013016",50,45,59,43,44,31
"ENSG00000013275",1103,733,977,743,874,1042
"ENSG00000013288",535,231,274,402,253,256
"ENSG00000013293",0,0,0,0,0,0
"ENSG00000013297",0,2,0,0,1,5
"ENSG00000013306",1023,444,623,830,538,641
"ENSG00000013364",1037,557,901,791,693,939
"ENSG00000013374",1220,858,1008,773,855,1099
"ENSG00000013375",430,310,355,287,371,375
"ENSG00000013392",75,47,36,55,39,41
"ENSG00000013441",920,847,953,535,860,973
"ENSG00000013503",245,237,253,167,304,278
"ENSG00000013523",117,63,97,109,74,81
"ENSG00000013561",324,270,323,218,287,344
"ENSG00000013563",55,37,28,58,23,45
"ENSG00000013573",589,325,343,393,312,332
"ENSG00000013583",1,0,0,0,0,0
"ENSG00000013588",0,0,2,0,4,0
"ENSG00000013619",0,0,2,0,0,1
"ENSG00000013725",17,18,7,12,7,12
"ENSG00000013810",821,474,518,661,530,573
"ENSG00000014123",1384,1067,1125,845,1113,1233
"ENSG00000014138",692,491,566,494,545,521
"ENSG00000014164",101,41,56,120,73,63
"ENSG00000014216",1305,558,724,1014,595,801
"ENSG00000014257",0,0,2,0,0,2
"ENSG00000014641",1896,1455,1574,1397,1563,1812
"ENSG00000014824",717,533,567,461,568,648
"ENSG00000014914",6,3,4,1,8,2
"ENSG00000014919",607,346,337,412,413,403
"ENSG00000015133",1572,759,847,1144,790,914
"ENSG00000015153",266,202,223,167,213,201
"ENSG00000015171",519,434,516,321,519,646
"ENSG00000015285",429,200,222,324,223,242
"ENSG00000015413",1,0,0,0,0,0
"ENSG00000015475",540,305,335,372,334,427
"ENSG00000015479",6440,5047,5765,4169,5419,6276
"ENSG00000015520",0,0,0,0,1,0
"ENSG00000015532",226,64,74,177,90,93
"ENSG00000015568",1,0,1,1,1,4
"ENSG00000015592",5,1,5,4,4,5
"ENSG00000015676",586,385,437,377,448,448
"ENSG00000016082",0,0,0,0,1,0
"ENSG00000016391",330,270,319,220,311,329
"ENSG00000016402",1,1,0,0,0,1
"ENSG00000016490",0,1,0,1,0,0
"ENSG00000016602",1,1,1,1,1,1
"ENSG00000016864",324,173,164,182,162,212
"ENSG00000017260",999,795,1054,714,899,1177
"ENSG00000017373",3,6,0,1,1,3
"ENSG00000017427",128,117,162,75,134,178
"ENSG00000017483",533,332,380,385,346,412
"ENSG00000017621",4,3,7,1,2,4
"ENSG00000017797",803,458,613,566,506,643
"ENSG00000018189",119,96,104,93,98,98
"ENSG00000018236",0,1,4,1,0,2
"ENSG00000018280",0,4,1,1,1,2
"ENSG00000018408",181,126,100,110,146,120
"ENSG00000018510",1091,790,961,776,985,1063
"ENSG00000018607",0,1,0,0,0,0
"ENSG00000018610",311,248,332,223,281,296
"ENSG00000018625",0,1,0,0,0,1
"ENSG00000018699",466,434,471,293,436,486
"ENSG00000018869",14,8,11,10,10,12
"ENSG00000019102",3,1,0,1,2,2
"ENSG00000019144",0,3,1,0,4,3
"ENSG00000019169",1,2,3,1,7,5
"ENSG00000019186",0,1,0,0,1,0
"ENSG00000019485",6,12,6,7,12,10
"ENSG00000019505",0,2,0,0,0,0
