sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample116	sample117	sample118	sample119	sample120	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample131	sample41	sample44	sample45	sample48	sample49	sample51	sample52	sample53	sample54	sample62	sample64	sample66	sample68	sample71	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample82	sample83	sample86	sample87	sample88	sample90	sample91	sample93	sample95	sample96	sample97
ENSG00000083857	11.17374795	11.48283902	11.08669833	10.60498636	11.08342512	11.23448406	9.620495849	11.73058388	10.43412962	10.60528321	11.02327214	10.24638195	10.73551278	10.78003207	10.44088746	10.66186812	10.79897133	10.60935649	10.83077717	10.62916238	11.39683704	10.6802854	12.69983768	13.43679801	11.57656242	11.16221587	12.15846755	10.19022314	10.53766431	11.45982976	10.5976225	12.62253927	11.00557939	11.10742763	12.33815888	12.38609607	10.79856607	11.23668145	11.69507012	10.32240175	10.09353411	10.54777169	10.84428967	12.14751344	10.14414863	10.5719987	11.26111994	11.52103158	11.13506125	10.70824565	11.38900894	10.69402089	10.35613803	11.23394927	11.14112617	10.83192644	11.65723215	12.26183655	11.67273157	10.95810342
ENSG00000124370	7.819580199	7.809675039	7.548960424	7.916277825	7.755804914	7.907583197	8.122220812	7.529045949	8.018232265	8.029772104	7.656722377	7.962455328	8.123128405	8.023652226	7.946339605	7.839528628	7.844011806	8.057850138	8.123336805	8.022505753	7.779964839	7.979990565	7.569304128	7.665636665	7.725669471	7.743854248	7.53370838	8.24202342	7.900243174	7.739361921	8.302183025	7.589574479	8.162092662	7.915139269	7.851784339	7.266893537	7.76799045	7.958281827	7.760511087	8.37692424	7.641331603	8.008817612	8.038592495	7.375533243	7.997233235	7.861845031	7.694159588	7.875764747	8.176131187	8.118383174	7.808594458	8.202988738	8.229201273	8.101834849	8.021600918	8.068008706	7.770280326	7.792507821	8.218425853	7.979162519
ENSG00000227562	-3.468227946	-3.470590566	-3.469165614	-3.471552421	-3.469002351	-3.467194635	-3.465190891	-3.46989383	-3.46912602	-3.470112477	-3.466814386	-3.463361366	-3.467200275	-3.470880645	-3.468361038	-3.470835984	-3.468230876	-3.469495442	-3.469993362	-3.469289925	-3.47064227	-3.218963918	-3.472570349	-3.181790121	-3.466872412	-3.468510062	-3.466871318	-3.468506574	-3.47100595	-3.472075794	-3.473915314	-2.970600494	-3.468386849	-3.471349236	-3.469462017	-3.466383773	-3.470087368	-3.472043641	-3.467583728	-3.471182218	-3.467032407	-3.46600329	-3.469771604	-3.460951697	-3.468195625	-3.469381012	-3.469002184	-3.470485839	-3.468647599	-3.470976411	-3.469695211	-3.47079677	-3.224916746	-3.469185521	-3.209563955	-3.468972459	-3.469849258	-3.468327909	-3.468885088	-3.467455414
ENSG00000231983	-2.960795675	-3.226897887	-3.225192493	-3.22804963	-3.224997164	-3.222835251	-3.220440675	-3.226063901	-3.225145121	-3.226325592	-2.713004995	-3.218255836	-3.222841993	-3.227245183	-3.224230015	-3.22719171	-3.224074338	-3.225587143	-3.226183025	-3.22534123	-3.226959787	-3.226072586	-3.229269047	-2.936005339	-3.222450055	-3.224408262	-3.222448747	-3.22440409	-3.227395217	-3.22867653	-3.230881097	-2.955760483	-3.224260887	-3.227806293	-3.225547148	-3.221866011	-3.22629554	-3.228638013	-3.22330045	-3.227606285	-3.222641312	-3.221411315	-3.225917622	-3.215380273	-3.224032177	-3.225450218	-3.224996964	-3.226772514	-3.224572779	-3.227359848	-2.972336814	-3.22714476	-3.227005646	-3.225216311	-3.22460911	-3.224961402	-2.973542513	-3.224190391	-3.224856877	-3.22314703
ENSG00000236777	-4.092212749	-3.856397767	-4.09277875	-4.094212655	-4.092680309	-4.091587271	-4.090369197	-4.093217278	-4.092754881	-4.093348768	-4.091356642	-4.089251106	-4.091590689	-4.093810073	-4.092293178	-4.093783281	-4.09221452	-4.092977484	-4.093277145	-4.092853674	-4.093667032	-4.093221644	-4.094821182	-4.090329048	-4.091391852	-4.0923832	-4.091391188	-4.092381094	-4.093885225	-3.867177016	-4.095622442	-3.834215109	-4.092308773	-4.094090973	-4.092957353	-4.09109517	-4.093333672	-4.094506536	-4.091823008	-4.093990896	-4.091488906	-4.090863875	-4.093143738	-4.087769916	-4.092193212	-4.092908557	-4.092680208	-4.093573109	-4.092466249	-4.093867512	-4.093097761	-4.093759754	-3.857054724	-4.09279075	-4.092484584	-4.09266228	-4.093190464	-4.092273161	-4.092609576	-4.091745296
ENSG00000262714	0.59079193	0.745113066	1.517055168	0.894645491	1.403205476	0.366549208	0.393050022	1.241117333	0.778917062	0.328161454	1.831748156	0.417418128	0.366474837	0.541825421	0.588317152	0.318657987	0.352897543	0.336268356	0.558127371	0.571102663	0.546198593	0.559826704	1.017445169	2.491769862	1.022692114	0.793267498	1.192695829	0.585613432	0.73559728	0.711213979	0.278163328	0.814820502	0.350844973	0.533241267	0.567923767	1.501805599	0.328491285	0.302792075	1.456032291	0.536299061	0.368689192	0.632520342	0.332639631	0.730777836	0.353361517	0.337772167	0.963544087	0.747516866	0.582995957	0.910054751	0.563621002	0.319173058	0.545495553	0.777535271	0.582432538	0.343142592	1.49049851	0.79752796	0.784520085	0.363110927
ENSG00000265910	-2.323334805	-2.328484678	-2.325379174	-2.093405335	-2.325023271	-2.321080948	-2.31670686	-2.326966401	-2.325292864	-2.327442892	-2.052000624	-2.312708095	-2.321093251	-2.087611117	-2.323625027	-2.329019411	-2.323341195	-2.326098118	-2.327183312	-2.325650153	-2.328597338	-2.326982215	-2.332797595	-1.79385947	-2.320377883	-2.323949974	-2.320375495	-2.32394237	-2.329389723	-2.331720353	-2.113622748	-1.632130733	-2.323681311	-2.330137616	-2.326025265	-2.319311479	-2.327388176	-2.331650316	-2.321929765	-2.329773752	-2.320726992	-2.318480911	-2.326700022	-2.307432283	-2.323264322	-2.325848698	-2.325022907	-2.328256483	-2.324249855	-2.329325367	-1.861688333	-2.328933971	-2.085881109	-2.325422569	-2.068444768	-2.324958106	-2.078670156	-2.323552789	-2.324767631	-2.321649862
ENSG00000178385	7.942165789	8.080790829	7.895495032	7.976012293	8.269942998	8.121639136	8.371587189	8.001772655	8.192869403	8.141610705	8.118961203	8.268671027	8.230490865	8.281828761	8.211058085	8.234235167	8.109605547	8.218579518	8.289680323	8.163670213	7.989352478	8.095978854	7.855985297	7.685766188	8.074863501	8.19685148	8.042936014	8.419291227	8.104077411	8.096655149	8.15080078	7.779331683	8.176000029	8.177458605	7.699900477	7.765759819	8.00416966	8.120822967	7.740495883	7.948934215	8.076795547	8.318320836	8.115803532	7.886268417	8.244475795	8.025203871	7.869905834	7.917189584	8.056048315	8.047358587	7.817886338	7.982641963	8.388334058	7.989732148	8.128969295	8.324049259	8.149427606	7.672070221	8.102914291	8.046529936
ENSG00000134779	7.359470239	7.247349054	7.133669274	6.951301921	7.22437618	7.465384814	7.063307669	7.301073945	7.532395523	7.381027297	7.349837119	7.079035943	6.951364459	7.482603675	7.070666367	7.434755605	7.205583767	7.176494622	7.170449283	6.990760219	7.212440593	7.269231587	7.494059553	7.565207004	7.388320934	7.521158491	7.381397031	7.223140003	7.009775325	7.56718241	7.292188161	7.552508082	7.017980409	7.132685441	7.408743757	7.543471449	7.24373567	7.393253724	6.954238882	6.937411667	7.111905608	7.269973303	7.136342442	6.963628587	7.177788433	6.804049744	7.051443851	7.361080411	7.191509398	6.966467761	7.264108222	7.031066376	7.023986257	7.331172636	7.174611792	7.281071455	7.159423872	7.409922949	6.903582831	6.933767459
ENSG00000163349	9.998790762	10.16111999	10.24089411	10.08553587	10.07373611	10.04903828	10.02999601	10.24764773	9.972868534	9.870728467	10.24415771	9.776218643	9.84642658	10.08290004	9.913215523	9.913384509	10.09605278	9.918804095	10.10423555	9.928657118	10.13563357	10.13500206	10.62160508	10.51967346	10.26251872	9.984402703	10.28193081	9.92072268	9.850904857	10.13205805	10.07192015	10.39224882	9.986420744	9.932955071	10.25353485	10.37344446	10.01569676	9.937795636	10.31637654	9.826156949	9.965261937	9.937199598	10.2023556	10.37607876	10.02978191	10.02201307	10.21606459	10.18908656	9.875098738	9.993724043	10.18630989	10.13760487	10.04928843	10.03569952	10.17288954	9.904402636	10.36642886	10.26689527	10.08300252	9.963095291
ENSG00000122359	9.274923762	9.197627019	9.838561467	9.444271235	9.3427335	9.09233776	9.231057198	9.778984321	9.452014264	8.858699963	9.714247254	9.120596579	9.139551162	9.102635848	9.30186301	9.068918259	9.559831015	9.039725368	9.207572822	9.366422703	9.247115305	9.617191286	10.12447012	9.925792309	9.657324648	9.731158911	10.04738362	8.91452816	9.127989819	9.527048741	8.893907306	9.988337329	9.382852326	9.358557346	9.459334868	10.18348795	9.253999949	9.042387174	9.572817206	8.919679784	9.311165481	9.328559951	9.425961518	9.864249497	9.237761593	9.280986148	9.658486406	9.299220517	9.374329209	9.129990057	9.464577598	9.173356933	9.014098316	9.11204101	9.404704018	8.902287868	9.761520748	9.84984007	9.172164868	9.206922396
ENSG00000257035	-3.693947479	-3.695936209	-3.4408151	-3.696744999	-3.694599655	-3.69307678	-3.691386823	-3.695350039	-3.694703776	-3.695534016	-3.692756233	-3.689842071	-3.693081533	-3.696180178	-3.694059586	-3.69614262	-3.693949948	-3.695014756	-3.695433792	-3.694841761	-3.695979698	-3.695356146	-3.697600392	-3.409768335	-3.692805153	-3.694185103	-3.692804231	-3.694182166	-3.696285552	-3.697184874	-3.698729728	-3.428843327	-3.694081327	-3.69657419	-3.694986622	-3.692393142	-3.69551289	-3.697157856	-3.693404706	-3.696433767	-3.692940032	-3.692072242	-3.695247183	-3.687805032	-3.693920253	-3.694918436	-3.694599515	-3.450756268	-3.694300934	-3.696260713	-3.695182892	-3.696109641	-3.696011916	-3.694753869	-3.437119851	-3.694574487	-3.695312532	-3.694031682	-3.694500921	-3.693296571
ENSG00000166401	6.489857999	7.705920924	7.194771435	6.695946266	7.859665899	6.401820344	6.279056505	8.610148025	6.742065436	6.017501423	7.341060637	6.067355892	6.800116097	5.935035167	6.369571163	6.00803732	6.707437496	6.776373266	6.522343161	5.853843911	7.00842741	6.493111221	8.024998841	8.776420865	7.218098187	7.442647625	8.552092996	5.811822698	7.191161057	7.112512368	5.979708694	8.810778893	6.996802005	6.261890283	8.540246573	8.863655816	7.498033539	6.244684188	7.881456436	6.738239173	7.44587433	6.419048184	6.776880086	7.881209153	6.003976338	6.502965162	7.390205399	7.150654963	6.053559556	6.375217544	7.495160808	6.600735056	6.608331128	6.271597298	7.327769241	6.239032048	8.242150976	8.555333554	7.228007118	6.554909312
ENSG00000267585	2.636645299	2.135189648	3.247181861	2.888946893	2.19108758	2.682152678	2.895647254	3.133762973	2.597694682	2.299187976	3.296644561	2.212111102	2.552897338	2.270189416	2.366239696	1.965902194	2.5099104	2.458049698	2.437864049	2.33050288	2.747752944	2.6774612	4.35360159	4.55888768	3.445366513	2.846911832	3.644477532	2.360612172	2.120703211	2.945839015	2.856428823	5.144988531	2.852740273	3.202489041	3.495362115	5.159137629	2.434066582	2.355894207	3.405476687	2.510264153	2.559967646	3.257105429	3.060416682	3.113027413	2.219842643	2.012267769	3.790230493	3.024532031	3.117682452	2.62986409	2.791422633	2.40553926	2.132046356	2.470677622	3.708489128	1.83944467	3.787147269	3.497860546	2.028196329	2.074548678
