sampleID	gender	age	weight	height	bmi	group
sample1	male	52	67	1.73	22.3863142771225	normal
sample2	female	30	63.37	1.72	21.4203623580314	normal
sample3	female	74	87	1.81	26.5559659351058	overweight
sample4	male	44	69	1.67	24.7409372871024	normal
sample5	male	32	80	1.87	22.8774057021934	normal
sample6	male	73	94	1.86	27.1707711874205	overweight
sample7	female	43	61.59	1.51	27.011973159072	overweight
sample8	female	40	56.33	1.68	19.9581916099773	underweight
sample9	female	55	64.59	1.58	25.8732574907867	overweight
sample10	male	66	92.2	1.87	26.3662100717779	overweight
sample11	female	70	95.5	1.66	34.6566990854986	obese
sample12	female	65	65	1.59	25.711008267078	overweight
sample13	male	27	69	1.96	17.9612661391087	underweight
sample14	female	26	64	1.71	21.8870763653774	normal
sample15	female	64	70	1.77	22.343515592582	normal
sample16	male	72	90.42	1.72	30.5638182801514	obese
sample17	female	56	80	1.74	26.4235698242833	overweight
sample18	female	36	80.56	1.82	24.3207342108441	normal
sample19	female	41	57.5	1.68	20.3727324263039	normal
sample20	female	42	68.61	1.78	21.654462820351	normal
sample21	female	40	76.5	1.84	22.5956994328922	normal
sample22	female	59	65.6	1.66	23.8060676440703	normal
sample23	male	28	87.5	1.75	28.5714285714286	overweight
sample24	female	32	70.5	1.77	22.503112132529	normal
sample25	male	28	71	1.78	22.4087867693473	normal
sample26	male	60	85	1.76	27.4405991735537	overweight
sample27	female	47	66.82	1.68	23.6748866213152	normal
sample28	male	68	84	1.8	25.9259259259259	overweight
sample29	male	28	89	1.88	25.181077410593	overweight
sample30	female	19	51	1.66	18.5077660037741	underweight
sample31	female	48	78.46	1.72	26.5210924824229	overweight
sample32	female	54	62	1.63	23.3354661447552	normal
sample33	female	42	67.41	1.66	24.4629118885179	normal
sample34	female	28	65.9	1.66	23.9149368558572	normal
sample35	female	33	58	1.79	18.1018070597048	underweight
sample36	female	45	86	1.73	28.734672057202	overweight
sample37	female	49	74.46	1.6	29.0859375	overweight
sample38	female	37	67.59	1.64	25.1301308744795	overweight
sample39	female	58	63.62	1.66	23.0875308462767	normal
sample40	female	44	87	1.72	29.40778799351	overweight
sample41	male	74	90.89	1.73	30.3685388753383	obese
sample42	male	26	69	1.81	21.0616281554287	normal
sample43	male	41	94.54	1.75	30.8702040816327	obese
sample44	male	62	88	1.79	27.4648107112762	overweight
sample45	male	49	68	1.73	22.7204383708109	normal
sample46	female	41	89.5	1.78	28.2476959979801	overweight
sample47	female	43	100	1.83	29.8605512257756	overweight
sample48	male	26	81.54	1.78	25.7353869460927	overweight
sample49	female	63	65.92	1.59	26.0749179225505	overweight
sample50	male	54	84	1.81	25.6402429718263	overweight
sample51	female	53	89.53	1.68	31.7212301587302	obese
sample52	female	45	60.22	1.65	22.119375573921	normal
sample53	male	44	68	1.8	20.9876543209877	normal
sample54	male	53	87	1.81	26.5559659351058	overweight
sample55	male	49	87.51	1.8	27.0092592592593	overweight
sample56	female	49	77	1.69	26.9598403417247	overweight
sample57	female	65	53	1.61	20.4467420238417	normal
sample58	female	27	63	1.76	20.338326446281	normal
sample59	male	23	74.59	1.84	22.03154536862	normal
sample60	female	35	48.5	1.67	17.3903689626735	underweight
sample61	female	43	63.16	1.62	24.0664532845603	normal
sample62	female	50	88.58	1.69	31.0143202268828	obese
sample63	female	53	64	1.69	22.4081789853296	normal
sample64	male	59	77	1.81	23.5035560575074	normal
sample65	male	35	76.25	1.82	23.0195628547277	normal
sample66	male	75	97	1.91	26.5891834105425	overweight
sample67	female	47	90	1.77	28.7273771904625	overweight
sample68	female	43	70	1.62	26.6727632982777	overweight
sample69	female	30	55	1.56	22.6002629848784	normal
sample70	male	26	84.45	1.86	24.4103364550815	normal
sample71	male	31	84	1.88	23.766410140335	normal
sample72	male	52	76.42	1.8	23.5864197530864	normal
sample73	male	41	73	1.82	22.0384011592803	normal
sample74	female	45	63.84	1.64	23.7358715050565	normal
sample75	female	38	71	1.82	21.4346093466973	normal
sample76	male	68	76.56	1.75	24.9991836734694	normal
sample77	male	41	135.69	1.96	35.3212203248646	obese
sample78	female	33	83.99	1.72	28.3903461330449	overweight
sample79	male	65	89	1.74	29.3962214295151	overweight
sample80	female	50	104.57	1.84	30.8866965973535	obese
